Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
07/09/2020 - 22:41:00	futmondo	Ruben Esteban	Dani García	12011523	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67104797.png
10/09/2020 - 21:31:00	Albar ÉldelBar	futmondo	Luna	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67034505.png
20/09/2020 - 21:29:00	echo de menos el Netliga	futmondo	Barrenetxea	3207000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/ander-barrenetxea-muguruza.png
04/09/2020 - 21:25:00	Hala Modric	futmondo	Maksimovic	13599999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62097340.png
01/09/2020 - 21:22:00	jglelxino17	futmondo	Yangel Herrera	1850639	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/yangel-clemente-herrera-ravelo.png
20/08/2020 - 20:14:00	echo de menos el Netliga	futmondo	Gabriel Paulista	16000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/19127830.png
21/08/2020 - 20:15:00	cityods	futmondo	Trincao	19999999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/francisco-antonio-machado-mota-castro-trincao.png
27/08/2020 - 21:16:00	Luis Ragan	futmondo	Pedro León	13222222	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67005397.png
12/09/2020 - 01:15:00	HOPE TEAM S.A	Albar ÉldelBar	Faycal Fajr	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/85084000.png
04/09/2020 - 21:25:00	Hala Modric	futmondo	Lodi	22599999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/renan-lodi.png
25/08/2020 - 15:00:00	futmondo	jorgearaujopirez	Rodrigo	29055684	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67086280.png
18/08/2020 - 20:13:00	Luis Ragan	futmondo	En-Nesyri	14111111	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67229630.png
18/08/2020 - 20:13:00	Sabero Valley	futmondo	José Mari	2150001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67082063.png
25/08/2020 - 21:14:00	Ruben Esteban	futmondo	Pacheco	15035000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67155103.png
04/09/2020 - 16:35:00	futmondo	Hala Modric	Oier	4127793	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/1509613.png
14/09/2020 - 21:28:00	PaKeTeS ⚽️	futmondo	Diakhaby	1385000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/48036643.png
13/09/2020 - 15:32:25	Hala Modric	Pineda team	Iza	13617396	CLAUSULA	null
08/09/2020 - 22:05:00	futmondo	Maño's Team	Roncaglia	1040871	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14001537.png
26/08/2020 - 21:15:00	echo de menos el Netliga	futmondo	Canales	51200000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67053076.png
12/09/2020 - 01:15:00	HOPE TEAM S.A	Albar ÉldelBar	Kaptoum	1200000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67185039.png
11/09/2020 - 21:26:00	Maño's Team	futmondo	Manu Vallejo	1388320	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/manuel-javier-vallejo-galvan.png
31/08/2020 - 21:20:00	Hala Modric	futmondo	Iago Aspas	62599999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67010455.png
09/09/2020 - 21:31:00	echo de menos el Netliga	futmondo	Maksimovic	13330000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62097340.png
04/09/2020 - 16:46:00	futmondo	Hala Modric	Bigas	2763024	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67122014.png
26/08/2020 - 21:15:00	Gaditas FC	futmondo	Fidel	3250000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67053759.png
